2023-10-04 08:39:45,404 INFO     Building assets from: soccertwos-stage2
2023-10-04 08:39:45,534 DEBUG    Popen(['git', 'rev-parse', '--show-toplevel'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=None)
2023-10-04 08:39:51,334 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 08:39:51,611 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 08:39:51,649 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 08:39:51,834 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 08:39:52,069 DEBUG    Popen(['git', 'cat-file', '--batch-check'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=<valid stream>)
2023-10-04 08:39:54,053 INFO     Tracking wincounts in a3c_comparison_936594_win_counts_history.txt
2023-10-04 08:39:54,053 INFO     CustomSideChannel initialized
2023-10-04 08:39:54,054 INFO     Extracting policies for env_name: SoccerTwosRR
2023-10-04 08:40:52,060 DEBUG    Starting new HTTPS connection (1): o151352.ingest.sentry.io:443
2023-10-04 08:40:52,236 DEBUG    https://o151352.ingest.sentry.io:443 "POST /api/5288891/envelope/ HTTP/1.1" 200 2
2023-10-04 08:41:33,294 INFO     Training iteration 1
2023-10-04 08:41:40,771 INFO     Iteration 1 finished in 7.475441217422485s, # of env_steps trained 30
2023-10-04 08:41:40,773 INFO     Training iteration 2
2023-10-04 08:41:47,556 INFO     Iteration 2 finished in 6.780009984970093s, # of env_steps trained 300
2023-10-04 08:41:47,564 INFO     Training iteration 3
2023-10-04 08:41:54,427 INFO     Iteration 3 finished in 6.861001491546631s, # of env_steps trained 510
2023-10-04 08:41:54,435 INFO     Training iteration 4
2023-10-04 08:42:01,320 INFO     Iteration 4 finished in 6.884005546569824s, # of env_steps trained 720
2023-10-04 08:42:01,328 INFO     Training iteration 5
2023-10-04 08:42:08,226 INFO     Iteration 5 finished in 6.895840644836426s, # of env_steps trained 930
2023-10-04 08:42:08,235 INFO     Training iteration 6
2023-10-04 08:42:15,229 INFO     Iteration 6 finished in 6.992016792297363s, # of env_steps trained 1140
2023-10-04 08:42:15,238 INFO     Training iteration 7
2023-10-04 08:42:22,226 INFO     Iteration 7 finished in 6.986006259918213s, # of env_steps trained 1350
2023-10-04 08:42:22,237 INFO     Training iteration 8
2023-10-04 08:42:29,211 INFO     Iteration 8 finished in 6.9729931354522705s, # of env_steps trained 1560
2023-10-04 08:42:29,218 INFO     Training iteration 9
2023-10-04 08:42:36,113 INFO     Iteration 9 finished in 6.89399790763855s, # of env_steps trained 1770
2023-10-04 08:42:36,121 INFO     Training iteration 10
2023-10-04 08:42:43,047 INFO     Iteration 10 finished in 6.925000905990601s, # of env_steps trained 1980
2023-10-04 08:42:43,056 INFO     Training iteration 11
2023-10-04 08:42:49,978 INFO     Iteration 11 finished in 6.920996904373169s, # of env_steps trained 2190
2023-10-04 08:42:49,989 INFO     Training iteration 12
2023-10-04 08:42:56,936 INFO     Iteration 12 finished in 6.945996522903442s, # of env_steps trained 2400
2023-10-04 08:42:56,944 INFO     Training iteration 13
2023-10-04 08:43:03,910 INFO     Iteration 13 finished in 6.964993953704834s, # of env_steps trained 2610
2023-10-04 08:43:03,920 INFO     Training iteration 14
2023-10-04 08:43:10,901 INFO     Iteration 14 finished in 6.979994773864746s, # of env_steps trained 2820
2023-10-04 08:43:10,910 INFO     Training iteration 15
2023-10-04 08:43:17,894 INFO     Iteration 15 finished in 6.982998847961426s, # of env_steps trained 3030
2023-10-04 08:43:17,902 INFO     Training iteration 16
2023-10-04 08:43:24,806 INFO     Iteration 16 finished in 6.9019975662231445s, # of env_steps trained 3240
2023-10-04 08:43:24,816 INFO     Training iteration 17
2023-10-04 08:43:31,752 INFO     Iteration 17 finished in 6.933999061584473s, # of env_steps trained 3440
2023-10-04 08:43:31,761 INFO     Training iteration 18
2023-10-04 08:43:38,722 INFO     Iteration 18 finished in 6.960000276565552s, # of env_steps trained 3650
2023-10-04 08:43:38,749 INFO     Training iteration 19
2023-10-04 08:43:45,720 INFO     Iteration 19 finished in 6.968998432159424s, # of env_steps trained 3860
2023-10-04 08:43:45,728 INFO     Training iteration 20
2023-10-04 08:43:52,701 INFO     Iteration 20 finished in 6.970999002456665s, # of env_steps trained 4070
2023-10-04 08:43:52,712 INFO     Training iteration 21
2023-10-04 08:43:59,696 INFO     Iteration 21 finished in 6.982997417449951s, # of env_steps trained 4280
2023-10-04 08:43:59,705 INFO     Training iteration 22
2023-10-04 08:44:06,640 INFO     Iteration 22 finished in 6.933000326156616s, # of env_steps trained 4490
2023-10-04 08:44:06,649 INFO     Training iteration 23
2023-10-04 08:44:13,616 INFO     Iteration 23 finished in 6.965997219085693s, # of env_steps trained 4710
2023-10-04 08:44:13,627 INFO     Training iteration 24
2023-10-04 08:44:20,554 INFO     Iteration 24 finished in 6.926000356674194s, # of env_steps trained 4920
2023-10-04 08:44:20,564 INFO     Training iteration 25
2023-10-04 08:44:27,512 INFO     Iteration 25 finished in 6.947992563247681s, # of env_steps trained 5130
2023-10-04 08:44:27,521 INFO     Training iteration 26
2023-10-04 08:44:34,457 INFO     Iteration 26 finished in 6.934532403945923s, # of env_steps trained 5340
2023-10-04 08:44:34,466 INFO     Training iteration 27
2023-10-04 08:44:41,392 INFO     Iteration 27 finished in 6.924997568130493s, # of env_steps trained 5550
2023-10-04 08:44:41,402 INFO     Training iteration 28
2023-10-04 08:44:48,348 INFO     Iteration 28 finished in 6.9440014362335205s, # of env_steps trained 5760
2023-10-04 08:44:48,360 INFO     Training iteration 29
2023-10-04 08:44:55,287 INFO     Iteration 29 finished in 6.925999402999878s, # of env_steps trained 5970
2023-10-04 08:44:55,297 INFO     Training iteration 30
2023-10-04 08:45:02,243 INFO     Iteration 30 finished in 6.945001602172852s, # of env_steps trained 6190
2023-10-04 08:45:02,253 INFO     Training iteration 31
2023-10-04 08:45:09,224 INFO     Iteration 31 finished in 6.969997406005859s, # of env_steps trained 6400
2023-10-04 08:45:09,235 INFO     Training iteration 32
2023-10-04 08:45:16,210 INFO     Iteration 32 finished in 6.973997354507446s, # of env_steps trained 6610
2023-10-04 08:45:16,220 INFO     Training iteration 33
2023-10-04 08:45:23,131 INFO     Iteration 33 finished in 6.909996509552002s, # of env_steps trained 6820
2023-10-04 08:45:23,139 INFO     Training iteration 34
2023-10-04 08:45:30,073 INFO     Iteration 34 finished in 6.932979345321655s, # of env_steps trained 7030
2023-10-04 08:45:30,081 INFO     Training iteration 35
2023-10-04 08:45:37,035 INFO     Iteration 35 finished in 6.95199728012085s, # of env_steps trained 7240
2023-10-04 08:45:37,043 INFO     Training iteration 36
2023-10-04 08:45:44,020 INFO     Iteration 36 finished in 6.974998235702515s, # of env_steps trained 7460
2023-10-04 08:45:44,031 INFO     Training iteration 37
2023-10-04 08:45:51,009 INFO     Iteration 37 finished in 6.97699761390686s, # of env_steps trained 7670
2023-10-04 08:45:51,020 INFO     Training iteration 38
2023-10-04 08:45:57,994 INFO     Iteration 38 finished in 6.972999095916748s, # of env_steps trained 7880
2023-10-04 08:45:58,003 INFO     Training iteration 39
2023-10-04 08:46:04,819 INFO     Iteration 39 finished in 6.81499981880188s, # of env_steps trained 8080
2023-10-04 08:46:04,827 INFO     Training iteration 40
2023-10-04 08:46:11,796 INFO     Iteration 40 finished in 6.968000411987305s, # of env_steps trained 8290
2023-10-04 08:46:11,811 INFO     Training iteration 41
2023-10-04 08:46:18,746 INFO     Iteration 41 finished in 6.934000730514526s, # of env_steps trained 8500
2023-10-04 08:46:18,754 INFO     Training iteration 42
2023-10-04 08:46:25,716 INFO     Iteration 42 finished in 6.959997892379761s, # of env_steps trained 8710
2023-10-04 08:46:25,727 INFO     Training iteration 43
2023-10-04 08:46:32,794 INFO     Iteration 43 finished in 7.065998315811157s, # of env_steps trained 8920
2023-10-04 08:46:32,803 INFO     Training iteration 44
2023-10-04 08:46:39,779 INFO     Iteration 44 finished in 6.973998546600342s, # of env_steps trained 9130
2023-10-04 08:46:39,788 INFO     Training iteration 45
2023-10-04 08:46:46,767 INFO     Iteration 45 finished in 6.977001190185547s, # of env_steps trained 9340
2023-10-04 08:46:46,777 INFO     Training iteration 46
2023-10-04 08:46:53,602 INFO     Iteration 46 finished in 6.82400107383728s, # of env_steps trained 9550
2023-10-04 08:46:53,610 INFO     Training iteration 47
2023-10-04 08:47:00,500 INFO     Iteration 47 finished in 6.888000011444092s, # of env_steps trained 9760
2023-10-04 08:47:00,510 INFO     Training iteration 48
2023-10-04 08:47:07,428 INFO     Iteration 48 finished in 6.917000770568848s, # of env_steps trained 9970
2023-10-04 08:47:07,436 INFO     Training iteration 49
2023-10-04 08:47:14,382 INFO     Iteration 49 finished in 6.945003032684326s, # of env_steps trained 10180
2023-10-04 08:47:14,391 INFO     Training iteration 50
2023-10-04 08:47:21,360 INFO     Iteration 50 finished in 6.968000650405884s, # of env_steps trained 10390
2023-10-04 08:47:21,372 INFO     Training iteration 51
2023-10-04 08:47:28,298 INFO     Iteration 51 finished in 6.923995733261108s, # of env_steps trained 10600
2023-10-04 08:47:28,307 INFO     Training iteration 52
2023-10-04 08:47:35,231 INFO     Iteration 52 finished in 6.922999858856201s, # of env_steps trained 10810
2023-10-04 08:47:35,241 INFO     Training iteration 53
2023-10-04 08:47:42,155 INFO     Iteration 53 finished in 6.912997245788574s, # of env_steps trained 11020
2023-10-04 08:47:42,164 INFO     Training iteration 54
2023-10-04 08:47:49,100 INFO     Iteration 54 finished in 6.934001684188843s, # of env_steps trained 11230
2023-10-04 08:47:49,112 INFO     Training iteration 55
2023-10-04 08:47:56,044 INFO     Iteration 55 finished in 6.930999040603638s, # of env_steps trained 11440
2023-10-04 08:47:56,053 INFO     Training iteration 56
2023-10-04 08:48:02,915 INFO     Iteration 56 finished in 6.8610007762908936s, # of env_steps trained 11650
2023-10-04 08:48:02,925 INFO     Training iteration 57
2023-10-04 08:48:09,848 INFO     Iteration 57 finished in 6.9209980964660645s, # of env_steps trained 11860
2023-10-04 08:48:09,856 INFO     Training iteration 58
2023-10-04 08:48:16,806 INFO     Iteration 58 finished in 6.948000431060791s, # of env_steps trained 12070
2023-10-04 08:48:16,818 INFO     Training iteration 59
2023-10-04 08:48:23,778 INFO     Iteration 59 finished in 6.958998918533325s, # of env_steps trained 12280
2023-10-04 08:48:23,787 INFO     Training iteration 60
2023-10-04 08:48:30,679 INFO     Iteration 60 finished in 6.890000104904175s, # of env_steps trained 12490
2023-10-04 08:48:30,688 INFO     Training iteration 61
2023-10-04 08:48:37,675 INFO     Iteration 61 finished in 6.985003232955933s, # of env_steps trained 12700
2023-10-04 08:48:37,687 INFO     Training iteration 62
2023-10-04 08:48:44,668 INFO     Iteration 62 finished in 6.980000972747803s, # of env_steps trained 12910
2023-10-04 08:48:44,677 INFO     Training iteration 63
2023-10-04 08:48:51,619 INFO     Iteration 63 finished in 6.941997528076172s, # of env_steps trained 13120
2023-10-04 08:48:51,631 INFO     Training iteration 64
2023-10-04 08:48:58,575 INFO     Iteration 64 finished in 6.944000959396362s, # of env_steps trained 13330
2023-10-04 08:48:58,585 INFO     Training iteration 65
2023-10-04 08:49:05,567 INFO     Iteration 65 finished in 6.980003595352173s, # of env_steps trained 13540
2023-10-04 08:49:05,576 INFO     Training iteration 66
2023-10-04 08:49:12,548 INFO     Iteration 66 finished in 6.970999002456665s, # of env_steps trained 13750
2023-10-04 08:49:12,556 INFO     Training iteration 67
2023-10-04 08:49:19,542 INFO     Iteration 67 finished in 6.9849982261657715s, # of env_steps trained 13960
2023-10-04 08:49:19,551 INFO     Training iteration 68
2023-10-04 08:49:26,545 INFO     Iteration 68 finished in 6.993000507354736s, # of env_steps trained 14170
2023-10-04 08:49:26,559 INFO     Training iteration 69
2023-10-04 08:49:33,554 INFO     Iteration 69 finished in 6.9929986000061035s, # of env_steps trained 14380
2023-10-04 08:49:33,562 INFO     Training iteration 70
2023-10-04 08:49:40,550 INFO     Iteration 70 finished in 6.985995769500732s, # of env_steps trained 14590
2023-10-04 08:49:40,562 INFO     Training iteration 71
2023-10-04 08:49:47,553 INFO     Iteration 71 finished in 6.98999810218811s, # of env_steps trained 14810
2023-10-04 08:49:47,565 INFO     Training iteration 72
2023-10-04 08:49:54,552 INFO     Iteration 72 finished in 6.985996961593628s, # of env_steps trained 15020
2023-10-04 08:49:54,565 INFO     Training iteration 73
2023-10-04 08:50:01,500 INFO     Iteration 73 finished in 6.933995485305786s, # of env_steps trained 15230
2023-10-04 08:50:01,513 INFO     Training iteration 74
2023-10-04 08:50:08,407 INFO     Iteration 74 finished in 6.891997337341309s, # of env_steps trained 15440
2023-10-04 08:50:08,416 INFO     Training iteration 75
2023-10-04 08:50:15,340 INFO     Iteration 75 finished in 6.9229981899261475s, # of env_steps trained 15650
2023-10-04 08:50:15,349 INFO     Training iteration 76
2023-10-04 08:50:22,302 INFO     Iteration 76 finished in 6.951996564865112s, # of env_steps trained 15860
2023-10-04 08:50:22,312 INFO     Training iteration 77
2023-10-04 08:50:29,281 INFO     Iteration 77 finished in 6.9680016040802s, # of env_steps trained 16070
2023-10-04 08:50:29,291 INFO     Training iteration 78
2023-10-04 08:50:36,279 INFO     Iteration 78 finished in 6.986997604370117s, # of env_steps trained 16280
2023-10-04 08:50:36,290 INFO     Training iteration 79
2023-10-04 08:50:43,273 INFO     Iteration 79 finished in 6.98199987411499s, # of env_steps trained 16490
2023-10-04 08:50:43,282 INFO     Training iteration 80
2023-10-04 08:50:50,138 INFO     Iteration 80 finished in 6.855001449584961s, # of env_steps trained 16700
2023-10-04 08:50:50,148 INFO     Training iteration 81
2023-10-04 08:50:57,094 INFO     Iteration 81 finished in 6.944998741149902s, # of env_steps trained 16910
2023-10-04 08:50:57,104 INFO     Training iteration 82
2023-10-04 08:51:04,077 INFO     Iteration 82 finished in 6.9719977378845215s, # of env_steps trained 17120
2023-10-04 08:51:04,086 INFO     Training iteration 83
2023-10-04 08:51:11,023 INFO     Iteration 83 finished in 6.935999631881714s, # of env_steps trained 17330
2023-10-04 08:51:11,033 INFO     Training iteration 84
2023-10-04 08:51:17,988 INFO     Iteration 84 finished in 6.952991008758545s, # of env_steps trained 17540
2023-10-04 08:51:17,996 INFO     Training iteration 85
2023-10-04 08:51:24,920 INFO     Iteration 85 finished in 6.922998905181885s, # of env_steps trained 17750
2023-10-04 08:51:24,932 INFO     Training iteration 86
2023-10-04 08:51:31,911 INFO     Iteration 86 finished in 6.97799825668335s, # of env_steps trained 17960
2023-10-04 08:51:31,921 INFO     Training iteration 87
2023-10-04 08:51:38,894 INFO     Iteration 87 finished in 6.972002744674683s, # of env_steps trained 18170
2023-10-04 08:51:38,905 INFO     Training iteration 88
2023-10-04 08:51:45,880 INFO     Iteration 88 finished in 6.974000453948975s, # of env_steps trained 18380
2023-10-04 08:51:45,890 INFO     Training iteration 89
